{| class="wikitable"
|+ 
|-
|
! Costs in USD
! Developer
! First public release
! Latest Stable version
! License
! Microsoft Office (.doc, .xls) support
! Microsoft Office Open XML support
! OpenDocument support
! Operating system
! Portable Document Format support
! Predecessor
|-
! Ability Office
| 49.99 - 59.99
| Ability Plus Software
| 1995
| 6.00
| Proprietary
| Yes
| Yes
| Planned for a future version
| Windows
| Export
| —
|-
! Apache OpenOffice
| Free
| Apache Software Foundation
| 2012 May
| 4.1.1
| Apache License 2.0
| Yes
| Import-only
| Native format
| Windows, Mac OS X, Linux, BSD, Unix, Solaris/Illumos
| Import with free plugin
| OpenOffice.org, 
StarOffice
|-
! Breadbox Office
| 99.95
| Breadbox Computer Company
| 1990
| 4.1.3.0
| Proprietary
| No
| No
| No
| DOS, Windows
| No
| —
|-
! Calligra Suite
| Free
| KDE
| 2011
| 2.8.7 (3 December 2014; 32 days ago)
| LGPL and GPL
| Import
| Import
| Native format
| Windows, Mac OS X, Linux, BSD, Solaris/Illumos
| Export
| KOffice
|-
! Feng Office Community Edition
| Free
| Feng Office
| 2007
| 1.6.1
| AGPL
| No
| No
| No
| Fully online
| No
| —
|-
! GobeProductive
| 49.95
| Gobe Software
| 1998
| 3.04 / 2.01
| Proprietary
| Yes
| No
| No
| Windows, BeOS
| No
| —
|-
! Google Apps
| 60.00 per account per year (free trial 30 days); some versions still free (education, non-profit)
| Google
| 2006
| 2014
| Proprietary
| Yes
| Yes
| Yes
| Fully online
| Yes
| Writely
|-
! Google Docs
| Free
| Google
| 2006
| 2014
| Proprietary
| Yes
| Yes
| Yes
| Fully online
| Yes
| Writely
|-
! IBM Lotus Symphony
| Free
| IBM
| 2007
| 3.0.1
| Proprietary
| Yes
| Import
| Native format
| Windows, Linux, Mac OS X
| Export
| IBM Workplace (based on OpenOffice.org)
|-
! KOffice
| Free
| KDE
| 1998
| 2.3.3
| LGPL and GPL
| Import
| Import
| Native format
| Windows, Mac OS X, Linux, BSD, Solaris/Illumos
| Export
| —
|-
! Kingsoft Office (WPS Office)
| Free
| Kingsoft
| 1988
| 2013
| Proprietary
| Yes
| Import support for .docx and .xlsx
| No
| Windows, Linux, Android, iOS
| Export
| WPS (word processor)
|-
! LibreOffice
| 
| The Document Foundation formerly Sun Microsystems and Go-oo
| 2010 September
| 
| 
| 
| 
| 
| 
| 
| OpenOffice.org, Go-oo 
StarOffice
|-
! iWork
| 19.99 per application through Mac App Store or free on a new Mac
| Apple Inc.
| 2005
| Pages 5.1 / Numbers 3.1 / Keynote 6.1   (2014)
| Proprietary
| Yes
| Import
| No
| Mac OS X
| Export
| AppleWorks
|}
