{| class="wikitable"
|+ 
|-
|
! Country
! Current
equivalent
states
! GDP (Billions of US$ in PPP)
|-
! 
| 
| 
| 
|-
! 1
| China
| United States
| 16,149.1
|-
! 10
| Mexico
| Texas  New Jersey
| 2,058.9
|-
! 11
| Italy
| Texas  North Carolina
| 2,035.4
|-
! 12
| South Korea
| Texas  Iowa
| 1,697.0
|-
! 13
| Saudi Arabia
| Texas
| 1,553.1
|-
! 14
| Canada
| Texas
| 1,518.4
|-
! 15
| Spain
| New York  Iowa
| 1,488.8
|-
! 16
| Turkey
| New York  Nevada
| 1,443.5
|-
! 17
| Iran
| Florida  Massachusetts
| 1,244.3
|-
! 18
| Australia
| Florida  Louisiana
| 1,052.6
|-
! 19
| Nigeria
| New England  West Virginia
| 972.6
|-
! 2
| India
| California  Texas  New York  New England  Florida
| 6,776.0
|-
! 20
| Taiwan
| Florida  Iowa
| 970.9
|-
! 21
| Thailand
| Florida  Iowa
| 964.5
|-
! 22
| Argentina
| Florida  Nevada
| 927.9
|-
! 23
| Egypt
| New England
| 909.8
|-
! 24
| Poland
| New England
| 896.8
|-
! 25
| Pakistan
| Florida
| 835.1
|-
! 26
| Netherlands
| Florida
| 780.3
|-
! 27
| Malaysia
| Pennsylvania  South Dakota
| 693.6
|-
! 28
| South Africa
| Pennsylvania
| 662.6
|-
! 29
| Philippines
| Pennsylvania
| 643.1
|-
! 3
| Japan
| California  Texas  New England
| 4,667.6
|-
! 30
| Colombia
| Ohio  Vermont
| 602.0
|-
! 31
| United Arab Emirates
| Ohio
| 570.6
|-
! 32
| Venezuela
| Ohio
| 553.3
|-
! 33
| Algeria
| New Jersey
| 543.0
|-
! 34
| Bangladesh
| North Carolina
| 499.6
|-
! 35
| Vietnam
| North Carolina
| 475.0
|-
! 36
| Belgium
| Georgia (U.S. state)
| 455.0
|-
! 37
| Switzerland
| Michigan
| 432.0
|-
! 38
| Singapore
| Michigan
| 425.3
|-
! 39
| Sweden
| Michigan
| 418.2
|-
! 4
| Germany
| California  New York
| 3,512.8
|-
! 40
| Chile
| Washington
| 395.6
|-
! 41
| Kazakhstan
| Washington
| 395.5
|-
! 42
| Ukraine
| Washington
| 392.5
|-
! 43
| Austria
| Maryland  Vermont
| 376.7
|-
! 44
| Romania
| Maryland  Vermont
| 371.2
|-
! 45
| Peru
| Maryland
| 357.6
|-
! 46
| Norway
| Colorado
| 328.0
|-
! 47
| Qatar
| Indiana
| 298.4
|-
! 48
| Czech Republic
| Tennessee
| 287.6
|-
! 49
| Greece
| Arizona
| 278.0
|-
! 5
| Russia
| California  New York
| 3,491.6
|-
! 50
| Kuwait
| Missouri
| 275.4
|-
! 6
| Brazil
| California  Florida
| 3,012.9
|-
! 7
| France
| California  Colorado
| 2,534.5
|-
! 8
| Indonesia
| California  South Carolina
| 2,389.0
|-
! 9
| United Kingdom
| California  Washington, D.C.
| 2,320.4
|-
! —
| Hong Kong
| Washington
| 382.5
|}
