{| class="wikitable"
|+ 
|-
|
! Creates
! Extracts
! Input
! License
! Modifies
! Mounts
! OS
! Output
! Restores
|-
! 7-Zip
| No
| Yes
| CramFS, DMG, FAT, HFS, ISO, MBR, NTFS, SquashFS, UDF, VHD, WIM
| GPL
| No
| No
| Windows, Linux, Mac OS
| N/A
| No
|-
! AcetoneISO
| Yes
| Yes
| CD, DVD, ISO, BIN, MDF, IMG, NRG, CUE, TOC, DMG
| GPL
| No
| Yes
| Linux
| CD, DVD, ISO, BIN
| Yes
|-
! Acronis True Image
| Yes
| Yes
| TIB, VHD
| Shareware
| No
| Yes
| Windows
| TIB, VHD
| Yes
|-
! Alcohol 120%
| Yes
| No
| ISO, B5T, B6T, BWT, CCD, CDI, CUE, MDS, NRG, ISZ
| Shareware
| No
| Yes
| Windows
| MDS/MDF, ISO
| Yes
|-
! Alcohol 52% FE
| Yes
| No
| ISO
| Shareware
| No
| Yes
| Windows
| N/A
| No
|-
! AnyDVD HD
| Yes
| No
| N/A
| Shareware
| No
| No
| Windows
| ISO
| No
|-
! Ashampoo Burning Studio
| Yes
| No
| ISO
| Shareware– Past version are made available as freeware from time to time
| No
| No
| Windows
| N/A
| Yes
|-
! BlindWrite
| Yes
| ?
| B5T, B6T, BWA, BWI, BWS, BWT, CUE/BIN, ISO, MDS/MDF
| Shareware
| ?
| ?
| Windows
| B5T, B6T, BWA, BWI, BWS, BWT, CUE/BIN, ISO, MDS/MDF
| Yes
|-
! Brasero
| No
| No
| ISO, CUE
| GPL
| No
| No
| Linux
| CD, DVD
| Yes
|-
! Burnatonce
| No
| No
| ISO, CUE, TOC
| Freeware
| No
| No
| Windows
| N/A
| Yes
|-
! CDBurnerXP
| Yes
| No
| ISO, NRG, BIN/CUE
| Freeware
| No
| No
| Windows
| ISO, MDS/MDF
| Yes
|-
! CDRWIN
| ?
| ?
| CUE, BIN
| Shareware
| ?
| ?
| Windows
| CUE, BIN
| ?
|-
! CDRoller
| Yes
| Yes
| ISO
| Shareware
| No
| No
| Windows
| ISO
| Yes
|-
! CDemu
| No
| No
| CSO, ECM, GBI, GZ, XZ, ISZ, DMG, ISO, UDF, NRG, CDI, CCD, SUB, IMG, CUE/BIN, TOC, B5T, B6T, MDS, MDX, CIF, C2D, DAA
| GPL v2
| No
| Yes
| Linux
| N/A
| No
|-
! CloneCD
| Yes
| No
| N/A
| Shareware
| No
| No
| Windows
| ISO, UFD, IMG (CloneCD)
| Yes
|-
! CloneDVD
| Yes
| Yes
| ISO
| Shareware
| No
| No
| Windows
| ISO
| Yes
|-
! CopyCatX
| Yes
| Yes
| DMG
| Shareware
| No
| No
| Mac OS X
| DMG
| Yes
|-
! DVD Shrink
| Yes
| Yes
| ISO, NRG, IMG, MDS/Ixx
| Freeware
| No
| No
| Windows
| ISO
| No
|-
! Daemon Tools
| Yes
| Yes
| APE+CUE, BIN+CUE, B5T, B6T, BWT, CCD, CDI, FLAC+CUE, ISO, ISZ, MDF+MDS, MDX, NRG – VHD and TrueCrypt in Ultra edition
| Freemium
| All editions
except Lite
| Yes
| Windows
| ISO, MDS/MDF, MDX – VHD and TrueCrypt in Ultra edition
| Yes
|-
! DeepBurner
