{| class="wikitable"
|+ 
|-
|
! Battery life [h] high end)high end
! Battery life [h] low end)low end
! CPU
! Camera
! Display DPI
! Display resolution
! Display size "
! HSDPA
! Keyboard size in %
! Linux OS choice(s)OS choice(s)
! Model
! Mouse layout
! RAM [GB]
! Speed [GHz]
! Storage [GB]
! Storage type
! Video chipset
! Video connection(s)
! Weight [kg]
! Weight [lb]
! Windows OS choice(s)OS choice(s)
|-
! Acer Inc.
| 6–7 (6-cell)
| 3 (3-cell)
| Atom
| Built-in
| 133-135
| 1024×600, 1366×768 
WSVGA LED glossy
| 8.9 - 11.6
| 
| ?
| Linpus
| Aspire One
| Touchpad, buttons on each side
| 0.5, 1, 2
| 1.6
| 8, 16 / 120, 160, 250
| SSD + SDHC, HDD
| GMA 950
| VGA
| 0.99, 1.26
| 2.18, 2.77
| 7 Starter Edition
|-
! Aigo
| 6–7 (6-cell)
| 3 (3-cell)
| Atom
| 3.2 MP
| 194
| 800×480
| 4.8
| TD
| 
| 
| MID P8880T
| Touchscreen
| 0,5 or 1
| 0.8
| 8, 16 / 120
| SSD + SDHC, HDD
| GMA 500
| VGA
| 0.34
| 0.75
| XP
|-
! Always Innovating
| 10-15 (with keyboard, 12000 mAh)
| 3-5 (tablet only, 6000 mAh)
| OMAP3530
| None
| 133-102
| 1024×600 touchscreen
| 8.9
| 
| 95%
| Ångstrom, Ubuntu (operating system), Android
| Touch Book
| Touchpad 2-buttons below
| 0.25
| 0.6
| 8
| Removable SD card
| PowerVR SGX530 GPU + 430 MHz C64x+ DSP
| None
| 0.675/1.418
| 1.488/3.126
| CE/not x86 based
|-
! Archos
| 
| 
| Atom N270
| 1.3 MP
| 116
| 1024×600
| 10.2
| 
| 
| 
| Archos 10
| Touchpad 2-buttons below
| 1
| 1.6
| 160
| HDD
| GMA 950
| VGA
| 1.23
| 2.7
| XP
|-
! Asus
| 9.5
| ?
| Atom N280
| 1.3 MP
| 117
| 1024×600 
 WSVGA matte
| 10.1
| 
| 92%
| None
| Eee PC 1000HE
| Touchpad 2-buttons below
| 1, 2
| 1.66
| 160
| HDD
| GMA 950
| VGA
| 1.45
| 3.20
| XP Home
|-
! Asus
| 4.0
| (Internal LiPo,? cell, 3850 mAh)
| Atom Z520
| 0.3 MP
| 133
| 1024×600 
 WSVGA touchscreen
| 8.9
| 
| 92%
| ?
| Eee PC T91
| Touchpad 2-buttons below
| 1
| 1.33
| 16 + 20 Eee Storage
| SSD + SDHC
| GMA 500
| VGA
| 0.9
| 2.1
| XP Home
|-
! Asus
| 3.5 (4-cell)
| 3.5 (4-cell)
| Celeron-M ULV 353
| 1.3 MP
| 133
| 1024×600 
 WSVGA matte
| 8.9
| 
| 83%
| Xandros
| Eee PC 900
| Touchpad 2-buttons below
| 1
| 0.9
| 12, 16, 20
| SSD
| ?
| VGA
| 0.99
| 2.18
| XP
|-
! Asus
| 6.5
| LiPo,4 cell,?, 4900 mAh 35 Wh)
| Atom N450/N570
| 0.3 MP
| 
| 1024×600 
 WSVGA touchscreen
| 10.1
| 
| ?
| ?
| Eee PC T101MT
| Touchpad 2-buttons below
| 1, 2
| 1.66
| 160/320 + 500 Eee Storage
| HDD + SDXC
